model,horizon_min,profile,n_windows,MAE,RMSE,R2,F1,precision,recall,AUC_ROC
Baseline,5,bursty,49630,4.228798919068111,7.322154276342601,0.891141916436917,0.34064552186670394,0.20741875106346774,0.95234375,0.9751320853800415
Baseline,5,erratic,6864,3.2860188304961144,5.583943355764882,0.8125723819062833,0.04784688995215311,0.024630541871921183,0.8333333333333334,0.9851997666958298
Baseline,5,idle_pure,2272,1.1250731831705068,1.152332946812312,-2.9258378908970943,0.0,0.0,0.0,
Baseline,5,stable_high,34278,4.908960786665103,6.678249615012164,0.6623486118345252,0.29786703255581887,0.17553660688032932,0.9827160493827161,0.9276393900209713
Baseline,5,stable_low,22843,1.1957636497924902,1.4985005092891674,0.8413069717632553,0.0,0.0,0.0,
Baseline,5,stable_mid,104803,5.51590628475319,7.312710738973998,0.7333743880047505,0.3599427363828482,0.22160664819944598,0.9579100145137881,0.9703474520967977
Baseline,15,bursty,49373,5.221448842629609,9.106784045278713,0.8317611236101706,0.20778032036613273,0.11767755313634007,0.88671875,0.9197036617205206
Baseline,15,erratic,6834,4.310489113999976,7.027127926503282,0.7035999351195464,0.0262582056892779,0.013303769401330377,1.0,0.9612868580355398
Baseline,15,idle_pure,2262,1.6557004382186606,1.6864416194391585,-7.382243727663246,0.0,0.0,0.0,
Baseline,15,stable_high,34128,5.575280582351524,7.374707526978466,0.5892089322754155,0.1705237515225335,0.0933919321927484,0.9794238683127572,0.859500011190495
Baseline,15,stable_low,22743,1.6732380210066493,1.9785124884438667,0.7233810551736803,0.0,0.0,0.0,
Baseline,15,stable_mid,104343,6.347528404306289,8.372309265931566,0.6510280466082741,0.15803077662899737,0.08615152706776773,0.9539187227866474,0.9251555320689111
Baseline,30,bursty,49015,6.077639416944132,10.725814641381163,0.7669658432493087,0.2140782122905028,0.12490221642764016,0.7484375,0.8712184374018017
Baseline,30,erratic,6789,5.241714910864567,8.252302706790342,0.590057788623842,0.0045662100456621,0.0023148148148148147,0.16666666666666666,0.8990122364735368
Baseline,30,idle_pure,2247,2.2518681522788713,2.2819516588715962,-14.270261867494034,0.0,0.0,0.0,
Baseline,30,stable_high,33903,6.062120360603509,8.0537145464236,0.5116316347527379,0.1726643302846397,0.09633727584891263,0.831275720164609,0.8133494200814184
Baseline,30,stable_low,22593,2.1498969734593576,2.446050310391386,0.5768928413432746,0.0,0.0,0.0,
Baseline,30,stable_mid,103653,6.868661767918689,9.170442101902026,0.5818585798743212,0.16899058515075677,0.09488334745951733,0.7717706821480407,0.8558177505540182
Baseline,60,bursty,48265,7.291640046976007,12.83533248712091,0.667219439623473,0.11025641025641025,0.09347826086956522,0.134375,0.7963101671411088
Baseline,60,erratic,6699,6.417635718500958,9.737721690264513,0.4313645221893294,0.014347202295552367,0.00723589001447178,0.8333333333333334,0.9343592808406793
Baseline,60,idle_pure,2217,2.649345144152265,2.6833185633638363,-19.93536614187098,0.0,0.0,0.0,
Baseline,60,stable_high,33453,6.773282309453398,8.869439108347379,0.41371137520639034,0.1205758848230354,0.06633116079531391,0.6617283950617284,0.7121549167368111
Baseline,60,stable_low,22293,2.4725419627552276,2.783680348103583,0.4520124501017647,0.0,0.0,0.0,
Baseline,60,stable_mid,102273,7.589689693552755,10.022706952363354,0.5034004202695096,0.075461926868515,0.039757556859153005,0.7402031930333817,0.6817717893827768
XGBoost,5,bursty,49630,4.423108859185326,7.481740155873403,0.8863450969554029,0.007757951900698216,0.5555555555555556,0.00390625,0.735149108066184
XGBoost,5,erratic,6864,2.763615549895869,5.237695664360956,0.835095655237611,0.0,0.0,0.0,0.9666569456595703
XGBoost,5,idle_pure,2272,0.19007294047886217,0.2693919594242841,0.7854415306178669,0.0,0.0,0.0,
XGBoost,5,stable_high,34278,5.113894797336875,6.924628792404961,0.6369752471861592,0.12166172106824925,0.6165413533834586,0.06748971193415639,0.9575866449746955
XGBoost,5,stable_low,22843,0.724291587248526,1.1885183156584895,0.9001712081002697,0.0,0.0,0.0,
XGBoost,5,stable_mid,104803,5.614416191421237,7.377250795234335,0.7286472849122104,0.025078369905956112,0.3130434782608696,0.013062409288824383,0.8983792994698947
XGBoost,15,bursty,49373,5.188382381329534,9.093140968364617,0.8322648308688543,0.0,0.0,0.0,0.6932864287682199
XGBoost,15,erratic,6834,3.6182228829520886,6.8136084980788985,0.7213385282015777,0.0,0.0,0.0,0.9839875024409295
XGBoost,15,idle_pure,2262,0.24911341732524328,0.3448879766915612,0.6494307896714022,0.0,0.0,0.0,
