model,horizon_min,F1,F1_macro,precision,recall,AUC_ROC
Baseline,5,0.19141258302390043,0.5769722707434931,0.13199653779572995,0.34810728552406317,0.8364771853287598
Baseline,15,0.12098815023097008,0.5334694178789825,0.07668805377329667,0.28647517595586836,0.6354144685308831
Baseline,30,0.10098632981484686,0.5178481618788036,0.061722649970386664,0.2775347156172722,0.6562693459984296
Baseline,60,0.07929995968602528,0.4883751414264378,0.04529692241005635,0.3180521209815484,0.6392871870485981
XGBoost,5,0.10549905188760558,0.546658649932863,0.5625,0.05820810348107285,0.9310689944522035
XGBoost,15,0.005259203606311044,0.4963908224175151,0.208955223880597,0.002663115845539281,0.7692061628327368
XGBoost,30,0.01364810033198082,0.5004776918459478,0.22424242424242424,0.007038234734639528,0.7163318205725931
XGBoost,60,0.021417097983223273,0.5041051185317682,0.17341040462427745,0.011413353623739776,0.6485463679643819
LSTM,5,0.2174641199041784,0.5607426165115869,0.12236961397146538,0.9756515122693551,0.9827909413131422
LSTM,15,0.0477605160352503,0.02388025801762515,0.024464476017181443,1.0,0.8047552190927764
LSTM,30,0.1900695483757373,0.5467826041514172,0.10746907588541278,0.8213810157884726,0.9028034445362239
LSTM,60,0.0008212428141253764,0.4915826815821703,0.0014641288433382138,0.0005706676811869887,0.769584592917387
