model,horizon_min,MAE,RMSE,R2
Baseline,5,4.688247587984208,7.023709615771577,0.8821226641920498
Baseline,15,5.168307993778549,7.803843206177916,0.8544825294136102
Baseline,30,5.650809313353273,8.581196263304324,0.8239149579348297
Baseline,60,6.52257505756073,9.797758973220626,0.7697834142449379
XGBoost,5,4.504171746366194,6.7259555921154695,0.8919050993549136
XGBoost,15,5.293775622372241,8.000911106931161,0.8470403230815702
XGBoost,30,5.932740627567784,9.053763166723284,0.8039869190208606
XGBoost,60,6.676872093275869,10.00330079038036,0.7600229217457464
LSTM,5,4.481855463074519,6.6707036382180736,0.8936737471894796
LSTM,15,5.161567531479662,7.7905969709911735,0.8549761125547084
LSTM,30,5.845446071409145,9.048336167926529,0.804221836571755
LSTM,60,6.630410964903088,10.203689818297674,0.7503120395894515
