model,horizon_min,profile,n_windows,MAE,RMSE,R2,F1,precision,recall,AUC_ROC
Baseline,5,bursty,49173,4.296049726390921,7.40214118678547,0.8889417433070503,0.2914285714285714,0.17191011235955056,0.95625,0.9526690356628317
Baseline,5,erratic,6810,3.219032280910733,5.855759252320704,0.7937391887187626,0.05150214592274678,0.02643171806167401,1.0,0.9923574368018813
Baseline,5,idle_pure,2254,0.33469427023297826,0.41211526226060036,0.500753029160383,0.0,0.0,0.0,
Baseline,5,stable_high,34008,4.989895705811081,6.671726588595545,0.6643089713138755,0.2131087513731234,0.1370379091123146,0.47901234567901235,0.8831948351920433
Baseline,5,stable_low,22663,0.7347951195737941,1.1768092859517185,0.9021227570768114,0.0,0.0,0.0,
Baseline,5,stable_mid,103975,5.673591619589261,7.466510576991931,0.7225695894308038,0.30747420650547375,0.1963585152399155,0.7082728592162555,0.9381383228000743
Baseline,15,bursty,48923,4.977539712641017,8.90059451823187,0.8395616422844434,0.14877042920421568,0.0824445573048925,0.7609375,0.8084060584713388
Baseline,15,erratic,6780,4.134664030412657,7.180266035970136,0.6894000515838945,0.016597510373443983,0.008403361344537815,0.6666666666666666,0.9454532034248597
Baseline,15,idle_pure,2244,0.8187867352031769,0.8752716700212114,-1.244641752888116,0.0,0.0,0.0,
Baseline,15,stable_high,33858,5.517871051567276,7.299467587149718,0.5990863442192186,0.0849323686693929,0.0524985417071748,0.2222222222222222,0.6562358166013195
Baseline,15,stable_low,22563,1.0938196561915894,1.4288758149486702,0.85562227089812,0.0,0.0,0.0,
Baseline,15,stable_mid,103515,6.321912406848973,8.351179612487636,0.6534005143547461,0.11454823889739663,0.0689070675805144,0.3392597968069666,0.754408707719728
Baseline,30,bursty,48548,5.674459872881203,10.333684563659281,0.7840028819989254,0.05687029902770134,0.037161352193718536,0.12109375,0.7580684706090801
Baseline,30,erratic,6735,4.985001667358296,8.36547013395311,0.5793482034694388,0.017204301075268817,0.008714596949891068,0.6666666666666666,0.9324565314311191
Baseline,30,idle_pure,2229,1.214556164140389,1.2634275732105194,-3.651944389180244,0.0,0.0,0.0,
Baseline,30,stable_high,33633,5.911225309636503,7.8323542495375955,0.5408391594982422,0.08018197327267558,0.04846193504038494,0.23209876543209876,0.6018611948297787
Baseline,30,stable_low,22413,1.3918267785106664,1.6586439547931238,0.8054269305280896,0.0,0.0,0.0,
Baseline,30,stable_mid,102825,6.780006104661054,9.013904592990894,0.5973678814200609,0.08290039662588682,0.048993067018818094,0.2692307692307692,0.6724399949956156
Baseline,60,bursty,47798,6.929842057857461,12.483968318931474,0.6856321395224687,0.055034129692832764,0.037852112676056336,0.10078125,0.6032176472682618
Baseline,60,erratic,6645,6.281171914273585,9.81523880910616,0.4225538507725951,0.016506189821182942,0.008321775312066574,1.0,0.9663101872772003
Baseline,60,idle_pure,2199,2.0257447027195146,2.0717683668595743,-11.4406285060399,0.0,0.0,0.0,
Baseline,60,stable_high,33183,6.637224775001124,8.714786331268535,0.43669375461519944,0.07813882918194462,0.04616074096205557,0.254320987654321,0.49561216308901496
Baseline,60,stable_low,22113,2.068406574126527,2.3350989767357877,0.6142817086877544,0.0,0.0,0.0,
Baseline,60,stable_mid,101445,7.533316925561553,9.961133306162267,0.510665379126784,0.05496789972485479,0.030012686118715364,0.32619738751814226,0.46759186005454584
XGBoost,5,bursty,49173,4.146845133592869,6.86826530766398,0.904384071095743,0.0030557677616501145,0.06896551724137931,0.0015625,0.5463982291905916
XGBoost,5,erratic,6810,2.7332855584863,5.153091605647207,0.8402701731494356,0.0,0.0,0.0,0.982681755829904
XGBoost,5,idle_pure,2254,0.1923525449757885,0.27357319167590505,0.7799987664270844,0.0,0.0,0.0,
XGBoost,5,stable_high,34008,4.966369829467257,6.719842479637443,0.6594495645644544,0.17421602787456447,0.5681818181818182,0.102880658436214,0.9044226792855395
XGBoost,5,stable_low,22663,0.6911976876170691,1.2050432857263436,0.8973698772063063,0.0,0.0,0.0,
XGBoost,5,stable_mid,103975,5.450822236431881,7.196436094154689,0.7422767249676506,0.07224080267558529,0.46153846153846156,0.03918722786647315,0.8676113431264182
XGBoost,15,bursty,48923,4.987090596249399,8.669599210606725,0.8477812271299481,0.0,0.0,0.0,0.5311236779930945
XGBoost,15,erratic,6780,3.6505749640211596,6.837359916296813,0.7183581480802367,0.0,0.0,0.0,0.9040448774726897
XGBoost,15,idle_pure,2244,0.24242788478864918,0.34277462084169946,0.6557463040795508,0.0,0.0,0.0,
XGBoost,15,stable_high,33858,5.840221084884507,7.812654343414631,0.5407325137335633,0.015735641227380016,0.17857142857142858,0.00823045267489712,0.8395511285639168
XGBoost,15,stable_low,22563,1.0125973581057863,1.6877140776522859,0.7985770363984639,0.0,0.0,0.0,
XGBoost,15,stable_mid,103515,6.379323670171179,8.42886213868625,0.6469223995176668,0.01261201460338533,0.07392996108949416,0.006894049346879536,0.8083627415953553
XGBoost,30,bursty,48548,5.51115195709037,9.755545739171943,0.8074955849857264,0.0,0.0,0.0,0.2186486331926462
XGBoost,30,erratic,6735,4.409035784453043,8.201772169049024,0.5956500029296106,0.0,0.0,0.0,0.3701887353247139
XGBoost,30,idle_pure,2229,0.28984016139927654,0.40374642758765733,0.524937009625287,0.0,0.0,0.0,
XGBoost,30,stable_high,33633,6.466469527063576,8.76746179878937,0.4246555039349629,0.011226944667201283,0.21875,0.005761316872427984,0.5782902578890404
XGBoost,30,stable_low,22413,1.1079097832775189,1.7875479002761312,0.7740086761376203,0.0,0.0,0.0,
XGBoost,30,stable_mid,102825,6.884376344803677,9.174958343952888,0.5828514824249116,0.002105263157894737,0.031914893617021274,0.0010885341074020319,0.49877218427557846
XGBoost,60,bursty,47798,6.90524845875111,11.791146363337496,0.7195568192260744,0.0,0.0,0.0,0.2674922039586827
XGBoost,60,erratic,6645,5.36416574184656,9.715467313785995,0.43423361765576196,0.0,0.0,0.0,0.9142190088868806
XGBoost,60,idle_pure,2199,0.35430059578268025,0.4762762742633185,0.3425271530304147,0.0,0.0,0.0,
XGBoost,60,stable_high,33183,7.257736637899616,10.01550985695186,0.25599268658282603,0.06927044952100221,0.33098591549295775,0.03868312757201646,0.5158350866298397
XGBoost,60,stable_low,22113,1.008974174273007,1.6098692305071487,0.8166669149115263,0.0,0.0,0.0,
XGBoost,60,stable_mid,101445,7.8128366441335135,10.432747557743893,0.4632329640660242,0.011411411411411412,0.033101045296167246,0.006894049346879536,0.3389962326271586
LSTM,5,bursty,49173,4.388153128866365,7.523729042421979,0.8852632837665861,0.1683221476510067,0.0920704845814978,0.9796875,0.9831325167561021
LSTM,5,erratic,6810,2.774832355503469,5.344241113731061,0.8282003073203402,0.057971014492753624,0.029850746268656716,1.0,0.9951744072114442
LSTM,5,idle_pure,2254,0.18866391528890317,0.26350614966557573,0.7958922233860715,0.0,0.0,0.0,
LSTM,5,stable_high,34008,4.958923530982427,6.719976387301319,0.659435991994043,0.26513477684489617,0.15311981625622048,0.9876543209876543,0.9723394496391443
LSTM,5,stable_low,22663,0.5879698778689499,1.075493192037221,0.9182505413836906,0.0,0.0,0.0,
LSTM,5,stable_mid,103975,5.465948662795709,7.227200188602007,0.740068529095849,0.3247653518189068,0.19542266519010706,0.9604499274310595,0.9832008179508053
LSTM,15,bursty,48923,5.461592332972391,9.509944799840923,0.8168418842433217,0.02526290096210565,0.012969112211014348,0.48515625,0.23317196879657032
LSTM,15,erratic,6780,3.7433600033630663,6.938710952443711,0.709946639943489,0.001768867924528302,0.0008852168781351431,1.0,0.567365416789686
LSTM,15,idle_pure,2244,0.4638275571047941,0.5301080796053642,0.17663928738723755,0.0,0.0,0.0,
LSTM,15,stable_high,33858,5.632096428042766,7.489232446449698,0.5779702168370873,0.06928406466512702,0.03588516746411483,1.0,0.21773851274714145
LSTM,15,stable_low,22563,0.9035958455597229,1.279300200085964,0.8842672770515089,0.0,0.0,0.0,
LSTM,15,stable_mid,103515,6.241284834306171,8.311640133695095,0.6566747633402348,0.05186739562063027,0.02662416074964981,1.0,0.31995109225477897
LSTM,30,bursty,48548,6.216992233873495,11.041070374022922,0.7534188285791925,0.10070484953361752,0.05322803729978138,0.93203125,0.8941068746297707
LSTM,30,erratic,6735,4.6612023482786435,8.316907348244085,0.5842179188318115,0.005517241379310344,0.0027662517289073307,1.0,0.9159359984148214
