model,horizon_min,MAE,RMSE,R2
Baseline,5,4.615188879533109,6.849752696029813,0.8879060821979194
Baseline,15,5.22896806397524,7.811887848809057,0.8541114334688941
Baseline,30,5.725617502140652,8.636163792812006,0.8217373473494886
Baseline,60,6.596704659927047,9.874350904298122,0.7668454426537652
XGBoost,5,4.4511004209181255,6.572049696257408,0.896810872075312
XGBoost,15,5.279069358649223,7.8654939606496885,0.8521023540671177
XGBoost,30,5.768016268244917,8.702247359389618,0.8189987928058522
XGBoost,60,6.665006998361296,10.084523657151841,0.756814557528489
LSTM,5,4.501906295188588,6.749366171724885,0.8911675902292273
LSTM,15,5.281569673238354,7.969603453403153,0.8481612279967461
LSTM,30,5.882431633680047,8.891276552258297,0.811050015328445
LSTM,60,6.66119827166342,10.140580880863082,0.7541034349390593
