model,horizon_min,F1,F1_macro,precision,recall,AUC_ROC
Baseline,5,0.2809793968348761,0.6170526926701159,0.17478523334107268,0.7159977173292753,0.9386647439809728
Baseline,15,0.12037164677014695,0.5202541596596201,0.0703875669052686,0.41525584934373216,0.7835982048843355
Baseline,30,0.07599897211872028,0.5021882748571213,0.04571980676328503,0.22503328894806923,0.7222161775757938
Baseline,60,0.05816370723256821,0.4719410234228456,0.032817730860396355,0.2554688986113753,0.5535646799872521
XGBoost,5,0.08186727051036405,0.5348332938397546,0.4855371900826446,0.04470230169298079,0.8039341896439589
XGBoost,15,0.010401721664275465,0.498787415610259,0.09090909090909091,0.005516454251474225,0.7556180802602791
XGBoost,30,0.0037078235076010383,0.4955666491348175,0.072992700729927,0.0019022256039566293,0.48625558839700656
XGBoost,60,0.02209205020920502,0.5041031484746366,0.09192200557103064,0.012554688986113753,0.37128601729314514
LSTM,5,0.2524468610973801,0.5881595704509317,0.14507286310825782,0.9714666159406505,0.9822721444340972
LSTM,15,0.0414053319045282,0.022499838214033473,0.021204574801697105,0.8746433326992581,0.3657060460766374
LSTM,30,0.06211851780650743,0.23794972490152638,0.03207215925657107,0.9834506372455774,0.8393289471977308
LSTM,60,0.06831962642877056,0.3627685149984626,0.0357993919307568,0.7458626593113943,0.7554649022430919
